The average of free energy: 68.226 (RMSF: 1.106, max: 197.913, min: 0.000)
The average of free energy: 78.917 (RMSF: 1.031, max: 211.685, min: 0.000)
The average of free energy: 128.927 (RMSF: 0.690, max: 266.569, min: 0.000)
The average of free energy: 196.644 (RMSF: 0.574, max: 370.474, min: 0.000)
The average of free energy: 68.226 (RMSF: 1.106, max: 197.913, min: 0.000)
The average of free energy: 78.917 (RMSF: 1.031, max: 211.685, min: 0.000)
The average of free energy: 128.927 (RMSF: 0.690, max: 266.569, min: 0.000)
The average of free energy: 196.644 (RMSF: 0.574, max: 370.474, min: 0.000)
The average of free energy: 68.226 (RMSF: 1.106, max: 197.913, min: 0.000)
The average of free energy: 78.917 (RMSF: 1.031, max: 211.685, min: 0.000)
The average of free energy: 128.927 (RMSF: 0.690, max: 266.569, min: 0.000)
The average of free energy: 196.644 (RMSF: 0.574, max: 370.474, min: 0.000)
The average of free energy: 68.226 (RMSF: 1.106, max: 197.913, min: 0.000)
The average of free energy: 78.917 (RMSF: 1.031, max: 211.685, min: 0.000)
The average of free energy: 128.927 (RMSF: 0.690, max: 266.569, min: 0.000)
The average of free energy: 196.644 (RMSF: 0.574, max: 370.474, min: 0.000)
The average of free energy: 68.226 (RMSF: 1.106, max: 197.913, min: 0.000)
The average of free energy: 78.917 (RMSF: 1.031, max: 211.685, min: 0.000)
The average of free energy: 128.927 (RMSF: 0.690, max: 266.569, min: 0.000)
The average of free energy: 196.644 (RMSF: 0.574, max: 370.474, min: 0.000)
